Table 6.1 jobs data by major occupational group and 2023–33 employment projections (Employment in thousands),,,,,,,,,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33",Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
"Total, all occupations",00-0000,"167,849.8","174,589.0","6,739.2",4.0,3.8,3.0,2.7,3.1,3.3,3.6,2.5,3.5,3.2,2.6,1.9,2.2,3.5,2.7,1.7,3.2,3.3
  Management occupations,11-0000,"13,181.3","14,140.9",959.6,7.3,4.1,3.5,3.0,3.6,3.5,3.6,1.9,3.7,4.0,3.1,1.7,1.7,4.0,3.5,1.7,3.6,3.8
  Business and financial operations occupations,13-0000,"10,977.2","11,738.5",761.3,6.9,4.0,3.7,2.8,3.7,3.3,3.6,1.7,3.5,3.4,3.2,1.3,1.3,3.8,3.1,1.4,3.6,3.9
  Computer and mathematical occupations,15-0000,"5,417.6","6,116.7",699.0,12.9,3.9,4.3,3.1,3.9,2.6,3.7,2.2,3.1,3.1,3.1,1.9,1.3,3.8,2.7,1.7,3.4,3.8
  Architecture and engineering occupations,17-0000,"2,639.7","2,819.7",180.0,6.8,3.8,3.8,3.1,3.8,2.7,3.8,2.2,3.0,3.2,3.6,2.1,1.5,3.8,2.9,2.6,3.3,3.7
"  Life, physical, and social science occupations",19-0000,"1,574.1","1,691.7",117.6,7.5,3.9,3.7,2.9,3.7,2.7,3.7,2.2,3.3,3.2,3.2,1.8,1.7,3.7,2.7,3.0,3.5,3.9
  Community and social service occupations,21-0000,"3,044.7","3,291.7",247.0,8.1,4.2,3.5,3.1,3.4,3.7,3.4,1.6,4.3,3.4,2.1,1.3,1.7,3.8,2.8,1.5,3.8,3.9
  Legal occupations,23-0000,"1,394.4","1,446.2",51.8,3.7,4.1,3.6,2.7,3.6,3.5,4.0,2.0,3.4,2.8,2.3,1.2,1.3,3.9,2.6,1.2,3.8,4.1
  Educational instruction and library occupations,25-0000,"9,579.9","9,731.2",151.3,1.6,4.2,3.4,3.3,3.3,3.2,3.3,1.7,3.9,3.5,2.9,1.3,1.7,3.6,2.7,2.1,3.8,3.9
"  Arts, design, entertainment, sports, and media occupations",27-0000,"3,073.1","3,203.2",130.1,4.2,3.9,3.3,3.6,3.2,3.1,3.5,2.3,3.4,3.2,2.2,1.5,1.8,3.5,2.7,1.4,3.6,3.5
