2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
"Total, all occupations",00-0000,"167,849.8","174,589.0","6,739.2",4.0,"49,500",—,3.8,3.0,2.7,3.1,3.3,3.6,2.5,3.5,3.2,2.6,1.9,2.2,3.5,2.7,1.7,3.2,3.3
  Home health and personal care aides,31-1120,"3,961.9","4,782.4",820.5,20.7,"34,900",High school diploma or equivalent,3.9,2.6,2.8,2.8,3.2,3.7,2.1,4.2,3.2,2.1,1.8,2.8,3.3,2.7,1.8,3.0,3.2
  Software developers[2],15-1252,"1,692.1","1,995.7",303.7,17.9,"133,080",Bachelor's degree,4.1,4.4,3.5,4.1,2.8,3.8,2.0,3.1,3.5,3.3,1.6,1.2,4.0,3.0,1.9,3.5,4.0
"  Cooks, restaurant",35-2014,"1,434.2","1,678.6",244.5,17.0,"36,830",No formal educational credential,3.7,2.0,2.8,2.7,3.2,3.6,3.2,3.2,3.3,2.6,1.9,2.7,2.9,2.8,1.7,2.7,2.6
  Fast food and counter workers,35-3023,"3,734.1","3,946.5",212.5,5.7,"30,480",No formal educational credential,3.4,2.0,2.3,2.3,3.5,3.3,2.5,3.3,3.1,2.5,1.5,2.3,2.9,2.3,1.5,2.9,2.2
  General and operations managers,11-1021,"3,630.1","3,840.5",210.4,5.8,"102,950",Bachelor's degree,4.1,3.5,3.1,3.6,3.6,3.6,1.7,3.7,4.0,3.0,1.7,1.7,4.1,3.6,1.7,3.5,3.8
  Registered nurses,29-1141,"3,300.1","3,497.3",197.2,6.0,"93,600",Bachelor's degree,4.2,3.6,2.8,3.6,3.8,4.0,2.7,4.3,3.8,3.1,1.7,2.8,3.9,2.7,2.5,3.5,3.9
  Stockers and order fillers,53-7065,"2,864.7","3,033.3",168.6,5.9,"37,090",High school diploma or equivalent,3.2,2.7,2.3,2.5,3.2,3.4,2.5,3.1,2.8,2.2,1.8,3.0,3.0,2.3,1.4,2.9,2.7
  Medical and health services managers,11-9111,562.7,723.3,160.6,28.5,"117,960",Bachelor's degree,4.4,3.9,3.0,4.0,3.6,3.5,1.7,4.0,4.3,3.0,1.4,1.4,3.9,3.8,2.1,3.7,4.0
  Financial managers,11-3031,837.1,975.3,138.3,16.5,"161,700",Bachelor's degree,3.9,3.6,2.7,3.5,3.3,3.8,1.9,3.7,4.0,3.6,1.3,1.2,3.9,3.2,1.1,3.7,3.8
  Nurse practitioners,29-1171,292.5,427.9,135.5,46.3,"129,210",Master's degree,4.4,3.7,2.8,3.9,3.7,4.2,2.5,4.2,3.6,3.1,1.5,2.3,4.2,2.7,3.3,3.7,4.1
"  Laborers and freight, stock, and material movers, hand",53-7062,"3,004.8","3,130.6",125.7,4.2,"38,940",No formal educational credential,3.2,2.1,1.9,2.4,2.7,3.4,3.1,2.7,2.4,2.1,2.5,3.2,3.1,1.9,1.2,2.5,2.7
  Medical assistants,31-9092,783.9,901.9,118.0,15.0,"44,200",Postsecondary nondegree award,4.2,3.6,2.9,3.1,3.6,4.0,2.4,4.0,3.2,2.7,2.1,2.3,3.3,3.0,2.2,3.5,3.7
  Construction laborers,47-2061,"1,401.2","1,516.6",115.4,8.2,"46,730",No formal educational credential,3.2,1.9,2.3,2.6,2.8,3.7,3.2,2.9,3.1,2.0,3.0,3.1,3.2,2.7,1.5,2.7,2.7
  Management analysts,13-1111,"1,018.3","1,126.2",107.9,10.6,"101,190",Bachelor's degree,4.2,3.7,3.2,4.0,3.4,3.6,1.5,3.7,3.7,3.1,1.3,1.3,4.1,3.1,1.5,3.7,4.1
  Computer and information systems managers,11-3021,613.5,720.4,106.9,17.4,"171,200",Bachelor's degree,3.9,4.2,3.0,3.9,3.0,3.8,2.3,3.4,3.9,3.1,1.7,1.3,4.1,3.5,1.4,3.4,3.8
  Heavy and tractor-trailer truck drivers,53-3032,"2,211.3","2,313.4",102.0,4.6,"57,440",Postsecondary nondegree award,3.5,2.6,2.1,2.6,2.9,3.9,3.5,2.8,2.3,2.2,2.9,2.7,3.4,2.2,1.5,2.7,2.7
